Confirmado,Mortes,Mortalidade,Capital,Atualizado,Created
603,32,"5,31%",Porto Alegre-RS,25/05/2020,26/05/2020 - 11:05:51:251
3135,85,"2,71%",Rio Branco-AC,25/05/2020,26/05/2020 - 11:05:51:892
3848,213,"5,54%",Maceió-AL,25/05/2020,26/05/2020 - 11:05:53:467
13881,1182,"8,52%",Manaus-AM,24/05/2020,26/05/2020 - 11:05:54:211
3615,98,"2,71%",Macapá-AP,25/05/2020,26/05/2020 - 11:05:54:691
8613,303,"3,52%",Salvador-BA,24/05/2020,26/05/2020 - 11:05:55:225
20146,1687,"8,37%",Fortaleza-CE,25/05/2020,26/05/2020 - 11:05:55:698
5902,98,"1,66%",Brasília-DF,24/05/2020,26/05/2020 - 11:05:56:120
1836,76,"4,14%",Vitória-ES,24/05/2020,26/05/2020 - 11:05:56:535
1200,41,"3,42%",Goiânia-GO,25/05/2020,26/05/2020 - 11:05:57:202
8068,497,"6,16%",São Luís-MA,25/05/2020,26/05/2020 - 11:05:57:728
1444,42,"2,91%",Belo Horizonte-MG,25/05/2020,26/05/2020 - 11:05:58:210
245,6,"2,45%",Campo Grande-MS,24/05/2020,26/05/2020 - 11:05:58:627
518,7,"1,35%",Cuiabá-MT,25/05/2020,26/05/2020 - 11:05:59:69
9867,1155,"11,71%",Belém-PA,25/05/2020,26/05/2020 - 11:05:59:528
2687,98,"3,65%",João Pessoa-PB,25/05/2020,26/05/2020 - 11:05:00:220
12924,835,"6,46%",Recife-PE,25/05/2020,26/05/2020 - 11:05:00:635
1821,57,"3,13%",Teresina-PI,25/05/2020,26/05/2020 - 11:05:01:76
778,36,"4,63%",Curitiba-PR,24/05/2020,26/05/2020 - 11:05:01:748
22466,2831,"12,60%",Rio de Janeiro-RJ,25/05/2020,26/05/2020 - 11:05:02:458
1895,64,"3,38%",Natal-RN,24/05/2020,26/05/2020 - 11:05:02:914
2335,76,"3,25%",Porto Velho-RO,23/05/2020,26/05/2020 - 11:05:03:378
1996,73,"3,66%",Boa Vista-RR,25/05/2020,26/05/2020 - 11:05:03:801
628,7,"1,11%",Florianópolis-SC,25/05/2020,26/05/2020 - 11:05:04:261
3239,48,"1,48%",Aracaju-SE,25/05/2020,26/05/2020 - 11:05:04:892
46204,3555,"7,69%",São Paulo-SP,25/05/2020,26/05/2020 - 11:05:05:460
6,0,"0,00%",Palmas-TO,25/05/2020,26/05/2020 - 11:05:05:974
603,32,"5,31%",Porto Alegre-RS,26/05/2020,27/05/2020 - 11:05:57:931
3135,85,"2,71%",Rio Branco-AC,25/05/2020,27/05/2020 - 11:05:58:742
4064,223,"5,49%",Maceió-AL,26/05/2020,27/05/2020 - 11:05:00:227
13881,1182,"8,52%",Manaus-AM,24/05/2020,27/05/2020 - 11:05:00:868
3674,101,"2,75%",Macapá-AP,26/05/2020,27/05/2020 - 11:05:01:508
8860,314,"3,54%",Salvador-BA,25/05/2020,27/05/2020 - 11:05:02:230
20146,1687,"8,37%",Fortaleza-CE,25/05/2020,27/05/2020 - 11:05:02:869
6451,114,"1,77%",Brasília-DF,26/05/2020,27/05/2020 - 11:05:03:271
1896,78,"4,11%",Vitória-ES,25/05/2020,27/05/2020 - 11:05:03:762
1307,44,"3,37%",Goiânia-GO,26/05/2020,27/05/2020 - 11:05:04:212
8068,497,"6,16%",São Luís-MA,25/05/2020,27/05/2020 - 11:05:04:739
1444,42,"2,91%",Belo Horizonte-MG,25/05/2020,27/05/2020 - 11:05:05:466
249,6,"2,41%",Campo Grande-MS,25/05/2020,27/05/2020 - 11:05:05:853
564,7,"1,24%",Cuiabá-MT,26/05/2020,27/05/2020 - 11:05:06:569
9867,1155,"11,71%",Belém-PA,25/05/2020,27/05/2020 - 11:05:07:219
2687,98,"3,65%",João Pessoa-PB,25/05/2020,27/05/2020 - 11:05:07:725
13549,865,"6,38%",Recife-PE,26/05/2020,27/05/2020 - 11:05:08:179
1890,66,"3,49%",Teresina-PI,26/05/2020,27/05/2020 - 11:05:08:630
790,36,"4,56%",Curitiba-PR,25/05/2020,27/05/2020 - 11:05:09:97
22466,2831,"12,60%",Rio de Janeiro-RJ,25/05/2020,27/05/2020 - 11:05:09:678
2169,66,"3,04%",Natal-RN,25/05/2020,27/05/2020 - 11:05:10:159
2444,79,"3,23%",Porto Velho-RO,25/05/2020,27/05/2020 - 11:05:10:605
1996,73,"3,66%",Boa Vista-RR,25/05/2020,27/05/2020 - 11:05:11:206
622,7,"1,13%",Florianópolis-SC,26/05/2020,27/05/2020 - 11:05:11:726
3239,48,"1,48%",Aracaju-SE,25/05/2020,27/05/2020 - 11:05:12:163
47554,3691,"7,76%",São Paulo-SP,26/05/2020,27/05/2020 - 11:05:12:725
425,6,"1,41%",Palmas-TO,26/05/2020,27/05/2020 - 11:05:13:480
603,32,"5,31%",Porto Alegre-RS,27/05/2020,28/05/2020 - 11:05:59:927
3135,85,"2,71%",Rio Branco-AC,25/05/2020,28/05/2020 - 11:05:00:547
4358,230,"5,28%",Maceió-AL,27/05/2020,28/05/2020 - 11:05:02:86
13881,1182,"8,52%",Manaus-AM,24/05/2020,28/05/2020 - 11:05:02:594
3968,108,"2,72%",Macapá-AP,27/05/2020,28/05/2020 - 11:05:03:130
