Confirmado,Mortes,Mortalidade,Estado,Atualizado,Created
4501,97,"2,16%",AC,25/05/2020,26/05/2020 - 18:05:54:73
6682,337,"5,04%",AL,25/05/2020,26/05/2020 - 18:05:54:717
6584,168,"2,55%",AP,25/05/2020,26/05/2020 - 18:05:55:226
29867,1758,"5,89%",AM,24/05/2020,26/05/2020 - 18:05:55:607
14204,477,"3,36%",BA,25/05/2020,26/05/2020 - 18:05:56:90
36185,2493,"6,89%",CE,25/05/2020,26/05/2020 - 18:05:56:493
6930,114,"1,65%",DF,25/05/2020,26/05/2020 - 18:05:56:887
10007,447,"4,47%",ES,24/05/2020,26/05/2020 - 18:05:57:468
2515,96,"3,82%",GO,25/05/2020,26/05/2020 - 18:05:57:862
24278,817,"3,37%",MA,25/05/2020,26/05/2020 - 18:05:58:489
1594,42,"2,63%",MT,25/05/2020,26/05/2020 - 18:05:58:871
1023,17,"1,66%",MS,24/05/2020,26/05/2020 - 18:05:59:496
6962,230,"3,30%",MG,25/05/2020,26/05/2020 - 18:05:59:921
27366,2431,"8,88%",PA,25/05/2020,26/05/2020 - 18:05:00:303
8016,279,"3,48%",PB,25/05/2020,26/05/2020 - 18:05:00:682
28366,2248,"7,92%",PE,25/05/2020,26/05/2020 - 18:05:01:67
3720,119,"3,20%",PI,25/05/2020,26/05/2020 - 18:05:01:467
3384,160,"4,73%",PR,25/05/2020,26/05/2020 - 18:05:01:921
39298,4105,"10,45%",RJ,25/05/2020,26/05/2020 - 18:05:02:411
4774,212,"4,44%",RN,24/05/2020,26/05/2020 - 18:05:02:806
6559,197,"3,00%",RS,25/05/2020,26/05/2020 - 18:05:03:256
3201,121,"3,78%",RO,24/05/2020,26/05/2020 - 18:05:03:982
2564,86,"3,35%",RR,25/05/2020,26/05/2020 - 18:05:04:466
6875,109,"1,59%",SC,25/05/2020,26/05/2020 - 18:05:04:921
83625,6220,"7,44%",SP,25/05/2020,26/05/2020 - 18:05:05:444
5448,103,"1,89%",SE,25/05/2020,26/05/2020 - 18:05:06:247
2696,58,"2,15%",TO,25/05/2020,26/05/2020 - 18:05:06:672
4501,97,"2,16%",AC,25/05/2020,27/05/2020 - 11:05:15:112
7058,352,"4,99%",AL,26/05/2020,27/05/2020 - 11:05:15:583
6967,173,"2,48%",AP,26/05/2020,27/05/2020 - 11:05:16:106
29867,1758,"5,89%",AM,24/05/2020,27/05/2020 - 11:05:16:579
14204,477,"3,36%",BA,25/05/2020,27/05/2020 - 11:05:17:145
36185,2493,"6,89%",CE,25/05/2020,27/05/2020 - 11:05:17:953
7210,124,"1,72%",DF,26/05/2020,27/05/2020 - 11:05:18:368
10365,465,"4,49%",ES,25/05/2020,27/05/2020 - 11:05:18:972
2706,104,"3,84%",GO,26/05/2020,27/05/2020 - 11:05:19:519
24278,817,"3,37%",MA,25/05/2020,27/05/2020 - 11:05:19:958
1744,43,"2,47%",MT,26/05/2020,27/05/2020 - 11:05:20:397
1100,17,"1,55%",MS,25/05/2020,27/05/2020 - 11:05:20:837
6962,230,"3,30%",MG,25/05/2020,27/05/2020 - 11:05:21:305
27366,2431,"8,88%",PA,25/05/2020,27/05/2020 - 11:05:21:732
8016,279,"3,48%",PB,25/05/2020,27/05/2020 - 11:05:22:273
28854,2328,"8,07%",PE,26/05/2020,27/05/2020 - 11:05:22:702
3966,134,"3,38%",PI,26/05/2020,27/05/2020 - 11:05:23:148
3384,160,"4,73%",PR,25/05/2020,27/05/2020 - 11:05:23:601
39298,4105,"10,45%",RJ,25/05/2020,27/05/2020 - 11:05:24:41
5472,220,"4,02%",RN,25/05/2020,27/05/2020 - 11:05:24:488
6785,203,"2,99%",RS,26/05/2020,27/05/2020 - 11:05:24:985
3268,121,"3,70%",RO,25/05/2020,27/05/2020 - 11:05:25:465
2564,86,"3,35%",RR,25/05/2020,27/05/2020 - 11:05:26:126
7016,121,"1,72%",SC,26/05/2020,27/05/2020 - 11:05:26:584
86017,6423,"7,47%",SP,26/05/2020,27/05/2020 - 11:05:27:152
5448,103,"1,89%",SE,25/05/2020,27/05/2020 - 11:05:27:563
2858,64,"2,24%",TO,26/05/2020,27/05/2020 - 11:05:27:982
4501,97,"2,16%",AC,25/05/2020,28/05/2020 - 11:05:15:125
7580,368,"4,85%",AL,27/05/2020,28/05/2020 - 11:05:15:677
7619,183,"2,40%",AP,27/05/2020,28/05/2020 - 11:05:16:118
29867,1758,"5,89%",AM,24/05/2020,28/05/2020 - 11:05:16:590
14566,495,"3,40%",BA,26/05/2020,28/05/2020 - 11:05:17:34
37021,2603,"7,03%",CE,26/05/2020,28/05/2020 - 11:05:17:497
7761,133,"1,71%",DF,27/05/2020,28/05/2020 - 11:05:17:883
10365,465,"4,49%",ES,25/05/2020,28/05/2020 - 11:05:18:291
2906,108,"3,72%",GO,27/05/2020,28/05/2020 - 11:05:18:995
26145,853,"3,26%",MA,26/05/2020,28/05/2020 - 11:05:19:441
1909,47,"2,46%",MT,27/05/2020,28/05/2020 - 11:05:19:919
1186,18,"1,52%",MS,26/05/2020,28/05/2020 - 11:05:20:327
8011,240,"3,00%",MG,27/05/2020,28/05/2020 - 11:05:20:964
31671,2605,"8,23%",PA,27/05/2020,28/05/2020 - 11:05:21:605
8919,286,"3,21%",PB,26/05/2020,28/05/2020 - 11:05:22:184
